board,move,player,feedback
"[[None, {'color': 'black', 'king': False}, None, {'color': 'black', 'king': False}, None, {'color': 'black', 'king': False}, None, {'color': 'black', 'king': False}], [{'color': 'black', 'king': False}, None, {'color': 'black', 'king': False}, None, {'color': 'black', 'king': False}, None, {'color': 'black', 'king': False}, None], [None, {'color': 'black', 'king': False}, None, {'color': 'black', 'king': False}, None, {'color': 'black', 'king': False}, None, {'color': 'black', 'king': False}], [None, None, None, None, None, None, None, None], [None, None, None, {'color': 'red', 'king': False}, None, None, None, None], [{'color': 'red', 'king': False}, None, {'color': 'red', 'king': False}, None, None, None, {'color': 'red', 'king': False}, None], [None, {'color': 'red', 'king': False}, None, {'color': 'red', 'king': False}, None, {'color': 'red', 'king': False}, None, {'color': 'red', 'king': False}], [{'color': 'red', 'king': False}, None, {'color': 'red', 'king': False}, None, {'color': 'red', 'king': False}, None, {'color': 'red', 'king': False}, None]]","red from [5, 4] to (4, 3)",red,Valid move.
"[[None, {'color': 'black', 'king': False}, None, {'color': 'black', 'king': False}, None, {'color': 'black', 'king': False}, None, {'color': 'black', 'king': False}], [{'color': 'black', 'king': False}, None, {'color': 'black', 'king': False}, None, {'color': 'black', 'king': False}, None, {'color': 'black', 'king': False}, None], [None, {'color': 'black', 'king': False}, None, {'color': 'black', 'king': False}, None, None, None, {'color': 'black', 'king': False}], [None, None, None, None, None, None, {'color': 'black', 'king': False}, None], [None, None, None, {'color': 'red', 'king': False}, None, None, None, None], [{'color': 'red', 'king': False}, None, {'color': 'red', 'king': False}, None, None, None, {'color': 'red', 'king': False}, None], [None, {'color': 'red', 'king': False}, None, {'color': 'red', 'king': False}, None, {'color': 'red', 'king': False}, None, {'color': 'red', 'king': False}], [{'color': 'red', 'king': False}, None, {'color': 'red', 'king': False}, None, {'color': 'red', 'king': False}, None, {'color': 'red', 'king': False}, None]]","red from [5, 4] to (4, 3)",red,Valid move.
"[[None, {'color': 'black', 'king': False}, None, {'color': 'black', 'king': False}, None, {'color': 'black', 'king': False}, None, {'color': 'black', 'king': False}], [{'color': 'black', 'king': False}, None, {'color': 'black', 'king': False}, None, {'color': 'black', 'king': False}, None, {'color': 'black', 'king': False}, None], [None, {'color': 'black', 'king': False}, None, {'color': 'black', 'king': False}, None, None, None, {'color': 'black', 'king': False}], [None, None, None, None, None, None, {'color': 'black', 'king': False}, None], [None, None, None, {'color': 'red', 'king': False}, None, {'color': 'red', 'king': False}, None, None], [{'color': 'red', 'king': False}, None, {'color': 'red', 'king': False}, None, None, None, None, None], [None, {'color': 'red', 'king': False}, None, {'color': 'red', 'king': False}, None, {'color': 'red', 'king': False}, None, {'color': 'red', 'king': False}], [{'color': 'red', 'king': False}, None, {'color': 'red', 'king': False}, None, {'color': 'red', 'king': False}, None, {'color': 'red', 'king': False}, None]]","red from [5, 6] to (4, 5)",red,Valid move.
"[[None, {'color': 'black', 'king': False}, None, {'color': 'black', 'king': False}, None, {'color': 'black', 'king': False}, None, {'color': 'black', 'king': False}], [{'color': 'black', 'king': False}, None, {'color': 'black', 'king': False}, None, None, None, {'color': 'black', 'king': False}, None], [None, {'color': 'black', 'king': False}, None, {'color': 'black', 'king': False}, None, {'color': 'black', 'king': False}, None, {'color': 'black', 'king': False}], [None, None, None, None, None, None, {'color': 'black', 'king': False}, None], [None, None, None, {'color': 'red', 'king': False}, None, {'color': 'red', 'king': False}, None, None], [{'color': 'red', 'king': False}, None, {'color': 'red', 'king': False}, None, None, None, None, None], [None, {'color': 'red', 'king': False}, None, {'color': 'red', 'king': False}, None, {'color': 'red', 'king': False}, None, {'color': 'red', 'king': False}], [{'color': 'red', 'king': False}, None, {'color': 'red', 'king': False}, None, {'color': 'red', 'king': False}, None, {'color': 'red', 'king': False}, None]]","red from [5, 6] to (4, 5)",red,Valid move.
"[0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 0, 3, 0, 0, 0, 3, 0, 0, 3, 0, 3, 0, 3, 0, 3, 3, 0, 3, 0, 3, 0, 3, 0]","red from [5, 4] to (4, 3)",red,Valid move.
"[0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 0, 3, 0, 0, 0, 3, 0, 0, 3, 0, 3, 0, 3, 0, 3, 3, 0, 3, 0, 3, 0, 3, 0]","red from [5, 4] to (4, 3)",red,Valid move.
"[0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 3, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 3, 0, 3, 0, 3, 0, 3, 3, 0, 3, 0, 3, 0, 3, 0]","red from [5, 6] to (4, 5)",red,Valid move.
"[0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 3, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 3, 0, 3, 0, 3, 0, 3, 3, 0, 3, 0, 3, 0, 3, 0]","red from [5, 6] to (4, 5)",red,Valid move.
"[0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0, 3, 0, 3, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 3, 0, 3, 0, 3, 3, 0, 3, 0, 3, 0, 3, 0]","red from [5, 2] to (4, 1)",red,Valid move.
"[0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 3, 0, 3, 0, 3, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 3, 0, 3, 0, 3, 3, 0, 3, 0, 3, 0, 3, 0]","red from [5, 2] to (4, 1)",red,Valid move.
"[0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 3, 0, 1, 0, 1, 0, 0, 3, 0, 0, 0, 3, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 3, 0, 3, 0, 3, 3, 0, 3, 0, 3, 0, 3, 0]","red from [4, 3] to (3, 2)",red,Valid move.
"[0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 1, 0, 0, 3, 0, 1, 0, 3, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 3, 0, 3, 0, 3, 3, 0, 3, 0, 3, 0, 3, 0]","red from [4, 3] to (3, 2)",red,Valid move.
"[0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 1, 0, 0, 3, 0, 1, 0, 3, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 0, 3, 0, 3, 0, 0, 0, 3, 3, 0, 3, 0, 3, 0, 3, 0]","red from [6, 5] to (5, 4)",red,Valid move.
"[0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 1, 0, 0, 3, 0, 1, 0, 3, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 0, 3, 0, 3, 0, 0, 0, 3, 3, 0, 3, 0, 3, 0, 3, 0]","red from [6, 5] to (5, 4)",red,Valid move.
"[0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3, 0, 3, 0, 0, 0, 3, 0, 0, 3, 0, 3, 0, 3, 0, 3, 3, 0, 3, 0, 3, 0, 3, 0]","red from [5, 4] to (4, 5)",red,Valid move.
"[0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3, 0, 3, 0, 0, 0, 3, 0, 0, 3, 0, 3, 0, 3, 0, 3, 3, 0, 3, 0, 3, 0, 3, 0]","red from [5, 4] to (4, 5)",red,Valid move.
"[0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 3, 0, 0, 3, 0, 0, 0, 0, 0, 3, 0, 0, 3, 0, 3, 0, 3, 0, 3, 3, 0, 3, 0, 3, 0, 3, 0]","red from [5, 2] to (4, 3)",red,Valid move.
